%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1443,-3.2990000247955322,-2.244999885559082,44.279998779296875,15.130000114440918,34.33000183105469,33.619998931884766,14.930000305175781,-59.33000183105469,13.770000457763672,-12.020000457763672,6.7870001792907715,10.300000190734863,1.7760000228881836,0.6664999723434448,-18.5,0.4422000050544739,0,0,0,0,0,0,0,0,0,0,0,0,0,19.489681,0,2025-05-31 12:16:47.812600,
1444,18.06999969482422,11.84000015258789,35.709999084472656,20.829999923706055,29.3700008392334,42.90999984741211,22.790000915527344,-52.38999938964844,5.613999843597412,25.860000610351562,24.700000762939453,23.989999771118164,10.859999656677246,4.614999771118164,16.360000610351562,9.279999732971191,0,0,0,0,0,0,0,0,0,0,0,0,0,19.489681,0,2025-05-31 12:16:47.812600,
1445,21.09000015258789,18.610000610351562,45.04999923706055,9.425999641418457,53.220001220703125,34.97999954223633,16.920000076293945,-47.47999954223633,22.420000076293945,40.529998779296875,29.969999313354492,18.559999465942383,0.5450000166893005,3.496999979019165,28.510000228881836,7.414999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,19.489681,0,2025-05-31 12:16:47.812600,
1446,8.189000129699707,-3.7920000553131104,30.899999618530273,-8.52299976348877,7.013999938964844,10.579999923706055,-6.836999893188477,-50.459999084472656,23.299999237060547,27.170000076293945,25.760000228881836,-0.4187999963760376,-15.260000228881836,-9.08899974822998,14.989999771118164,1.930999994277954,0,0,0,0,0,0,0,0,0,0,0,0,0,19.489681,0,2025-05-31 12:16:47.812600,
1447,-18.079999923706055,-9.859999656677246,-50.65999984741211,-42.16999816894531,-58.040000915527344,-8.104000091552734,-23.559999465942383,-62.790000915527344,-4.209000110626221,2.8440001010894775,17.959999084472656,1.8630000352859497,3.3580000400543213,1.3389999866485596,4.0229997634887695,7.339000225067139,0,0,0,0,0,0,0,0,0,0,0,0,0,19.537468,0,2025-05-31 12:16:47.860387,
1448,-7.619999885559082,10.609999656677246,-53.779998779296875,-49.529998779296875,6.076000213623047,1.781999945640564,-10.680000305175781,-76.25,9.939000129699707,-12.210000038146973,27.700000762939453,24.40999984741211,18.889999389648438,16.950000762939453,14.199999809265137,18.850000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,19.537468,0,2025-05-31 12:16:47.860387,
1449,28.93000030517578,13.029999732971191,42.45000076293945,-5.9720001220703125,93.12999725341797,30.229999542236328,17.56999969482422,-69.2300033569336,43.84000015258789,30.84000015258789,38.810001373291016,33.58000183105469,15.479999542236328,17.719999313354492,29.829999923706055,22.1200008392334,0,0,0,0,0,0,0,0,0,0,0,0,0,19.537468,0,2025-05-31 12:16:47.860387,
1450,36.77000045776367,19.329999923706055,77.86000061035156,32.54999923706055,80.52999877929688,48.65999984741211,33.779998779296875,-42.599998474121094,42.279998779296875,48.790000915527344,23.799999237060547,18.850000381469727,17.260000228881836,19.809999465942383,25.90999984741211,20.959999084472656,0,0,0,0,0,0,0,0,0,0,0,0,0,19.537468,0,2025-05-31 12:16:47.860387,
1451,7.511000156402588,19.729999542236328,42.040000915527344,16.450000762939453,38.310001373291016,22.579999923706055,6.381999969482422,-42.970001220703125,17.15999984741211,-22.5,-4.73799991607666,-14.539999961853027,-0.04259999841451645,10.40999984741211,-8.925999641418457,12.579999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,19.537468,0,2025-05-31 12:16:47.860387,
1452,-30.84000015258789,-16.81999969482422,5.484000205993652,-23.6200008392334,17.940000534057617,-24.030000686645508,-37.459999084472656,-68.83000183105469,-2.492000102996826,-33.7400016784668,-9.559000015258789,-31.510000228881836,-19.15999984741211,-1.8919999599456787,-46.060001373291016,-1.1710000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0,19.584106,0,2025-05-31 12:16:47.907025,
